violation_code	frequency
14	0.158288265
38	0.111778952
69	0.082721249
21	0.080998952
37	0.078991223
20	0.056515435
31	0.054423242
16	0.052520365
46	0.041902605
40	0.040293412
47	0.036622608
42	0.02726162
71	0.027137836
17	0.015616209
84	0.012850728
70	0.012395882
48	0.010026024
